#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-10-06T20:40:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ615e09a3390500 
#INFO -out.max=unlimited 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=unlimited
#
#
#-order=I
#-out=Teff
#-out=loggg
#-out=[Fe/H]
#-out=vmic
#-out=logeps
#-out=Line
#-out=Delta
#
#
#RESOURCE=
#Name: J/A+A/630/A104
#Title: A Grid of NLTE Corrections for Sulphur Lines in Atmospheres of Cool Stars for the Gaia-ESO Survey (Korotin+, 2017)
#Table 
#Name:
#Title:
#---Details of Columns:
#    Teff (K)        (I4)    Effective temperature [ucd=phys.temperature.effective]
#    loggg ([cm/s2]) (F5.2)  Logarithm of surface gravity [ucd=phys.gravity]
#    [Fe/H] ([-])    (F5.2)  Iron abundance relative to the Sun [ucd=phys.abund.Fe]
#    vmic (km/s)     (F5.2)  1D microturbulence parameter [ucd=phys.veloc.microTurb]
#    logeps ([-])    (F6.3)  Absolute abundance [ucd=phys.abund]
#    Line            (A8)    OI line label (1) [ucd=meta.id;spect.line]
#    Delta           (F8.3)  3D non-LTE versus 1D LTE correction [ucd=arith.factor]
#---- ----- ----- ----- ------ -------- --------
#     loggg [F    v                             
#Teff ([cm  e/H]  mic ( logeps                  
#(K)  /s2]) ([-]) km/s) ([-])  Line     Delta   
#GRID ONLY COMPUTED FOR LOGG=4. THE OTHERS ARE SO IT WORKS WITH MY CURRENT PROGRAM
4500  4.00  0.00  1.00   7.42  6757.15 -0.010
5000  4.00  0.00  1.00   7.42  6757.15 -0.012
5500  4.00  0.00  1.00   7.42  6757.15 -0.018
6000  4.00  0.00  1.00   7.42  6757.15 -0.028
6500  4.00  0.00  1.00   7.42  6757.15 -0.043
7000  4.00  0.00  1.00   7.42  6757.15 -0.050
4500  4.00  0.00  1.00   7.12  6757.15 -0.000
5000  4.00  0.00  1.00   7.12  6757.15 -0.005
5500  4.00  0.00  1.00   7.12  6757.15 -0.010
6000  4.00  0.00  1.00   7.12  6757.15 -0.020
6500  4.00  0.00  1.00   7.12  6757.15 -0.034
7000  4.00  0.00  1.00   7.12  6757.15 -0.041
4500  4.00 -1.00  1.00   7.42  6757.15 -0.000
5000  4.00 -1.00  1.00   7.42  6757.15 -0.010
5500  4.00 -1.00  1.00   7.42  6757.15 -0.020
6000  4.00 -1.00  1.00   7.42  6757.15 -0.051
6500  4.00 -1.00  1.00   7.42  6757.15 -0.060
7000  4.00 -1.00  1.00   7.42  6757.15 -0.052
4500  4.00 -1.00  1.00   7.12  6757.15 -0.000
5000  4.00 -1.00  1.00   7.12  6757.15 -0.010
5500  4.00 -1.00  1.00   7.12  6757.15 -0.020
6000  4.00 -1.00  1.00   7.12  6757.15 -0.060
6500  4.00 -1.00  1.00   7.12  6757.15 -0.074
7000  4.00 -1.00  1.00   7.12  6757.15 -0.062
4500  4.00  0.00  1.00   7.42  8694.71 -0.020
5000  4.00  0.00  1.00   7.42  8694.71 -0.012
5500  4.00  0.00  1.00   7.42  8694.71 -0.036
6000  4.00  0.00  1.00   7.42  8694.71 -0.060
