Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Al 1',      2071.41400,    0.000, -4.144, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.42900,    0.000, -5.595, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.43400,    0.000, -4.128, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.44900,    0.000, -5.579, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.45400,    0.000, -4.111, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.47000,    0.000, -5.562, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.47500,    0.000, -4.094, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.49200,    0.000, -5.545, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.49700,    0.000, -4.077, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.51400,    0.000, -5.528, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.52000,    0.000, -4.060, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.53800,    0.000, -5.511, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.54300,    0.000, -4.043, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.56200,    0.000, -5.494, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.56800,    0.000, -4.025, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.58800,    0.000, -5.476, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.59400,    0.000, -4.007, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.61500,    0.000, -5.458, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.62100,    0.000, -3.989, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.64200,    0.000, -5.440, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.64900,    0.000, -3.970, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.67100,    0.000, -5.421, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.67800,    0.000, -3.951, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.70200,    0.000, -5.402, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.70900,    0.000, -3.932, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.73300,    0.000, -5.383, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.74100,    0.000, -3.913, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.76600,    0.000, -5.364, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.77400,    0.000, -3.894, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.80100,    0.000, -5.345, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.80900,    0.000, -3.874, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.83800,    0.000, -5.325, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.84600,    0.000, -3.853, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.87600,    0.000, -5.304, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.88500,    0.000, -3.833, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.91600,    0.000, -5.284, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.92500,    0.000, -3.812, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.95800,    0.000, -5.263, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2071.96800,    0.000, -3.791, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.00200,    0.000, -5.242, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.01300,    0.000, -3.769, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.04900,    0.000, -5.220, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.06000,    0.000, -3.747, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.09800,    0.000, -5.198, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.10900,    0.000, -3.725, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.14900,    0.000, -5.176, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.16100,    0.000, -3.703, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.20400,    0.000, -5.154, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
'Al 1',      2072.21700,    0.000, -3.679, 0.000, 0.000, 0.000, 99.000,'   1 wl:WSM   1 WSM   1 gf:WSM   1 WSM   1 WSM   1 WSM   1 WSM             Al'
