Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'C 1',       2478.56100,    2.684, -1.112, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       2582.89800,    2.684, -4.759, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       2902.23000,    8.847, -2.786, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       2903.27000,    8.848, -2.310, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       2905.00000,    8.851, -2.088, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       2964.84000,    0.002, -7.250, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       2967.21000,    0.005, -6.860, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4371.36700,    7.685, -1.962, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4621.57000,    0.002,-11.129, 0.000, 0.000, 0.000, 99.000,'   2 wl:NIST10   2 NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10              C'
'C 1',       4734.26000,    7.946, -2.366, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4734.91700,    7.946, -4.290, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4735.16300,    7.946, -3.114, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4738.21300,    7.946, -3.115, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4738.46000,    7.946, -2.638, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4742.56100,    7.946, -2.990, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
'C 1',       4762.31300,    7.480, -2.464, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              C'
