Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Ca 1',      2024.15698,    2.709, -6.263, 7.640,-5.840,-7.800,  1.010,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2027.43032,    2.521, -6.666, 7.730,-4.340,-7.250,  0.760,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2028.00211,    2.523, -6.851, 7.730,-4.340,-7.250,  1.240,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2050.35400,    0.000, -3.480, 7.774,-1.506,-6.411,  1.000,'   2 wl:ABH   2 ABH   2 gf:ABH   2 ABH   2 ABH   2 ABH   2 ABH             Ca'
'Ca 1',      2054.00300,    0.000, -3.340, 6.754,-1.724,-6.397,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2058.60300,    0.000, -3.250, 6.645,-1.988,-6.452,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2059.14556,    0.000, -6.453, 6.100,-2.510,-6.530,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2064.51300,    0.000, -3.110, 6.651,-2.241,-6.511,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2065.26069,    0.000, -5.532, 6.420,-2.690,-6.550,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2072.28400,    0.000, -2.940, 6.737,-2.491,-6.577,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2073.34702,    0.000, -8.993, 5.800,-3.130,-6.590,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2082.77900,    0.000, -2.750, 6.955,-2.713,-6.649,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2084.36947,    0.000, -7.444, 5.600,-3.110,-6.660,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2091.67559,    2.709, -3.092, 7.720,-4.340,-7.250,  1.010,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2097.43700,    0.000, -2.520, 7.072,-3.865,-6.867,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2099.96409,    0.000, -6.886, 5.430,-3.090,-6.740,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2118.67600,    0.000, -2.250, 6.940,-3.840,-7.026,  1.000,'   2 wl:Sh   2 Sh   2 gf:Sh   2 Sh   2 Sh   2 Sh   2 Sh             Ca'
'Ca 1',      2121.30461,    1.879, -2.864, 8.110,-3.000,-6.910,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2121.77741,    1.879, -3.353, 6.490,-2.710,-6.450,  1.290,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2122.67235,    1.886, -4.536, 8.100,-2.920,-6.890,  0.750,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2123.13030,    0.000, -6.429, 5.560,-2.880,-6.830,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2123.52916,    1.886, -2.060, 7.470,-4.650,-6.940,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2123.65548,    1.886, -2.989, 8.110,-3.000,-6.910,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2123.98662,    1.879, -2.524, 6.810,-2.440,-6.490,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2124.12934,    1.886, -4.316, 6.490,-2.710,-6.450,  1.390,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2124.52383,    1.879, -3.810, 6.270,-2.940,-6.450,  0.810,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
