Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Mg 1',      2025.82420,    0.000, -0.947, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 GUES   2 GUES   2 GUES   2 GUES             Mg'
'Mg 1',      2084.53500,    0.000,-19.849, 0.000, 0.000, 0.000, 99.000,'   3 wl:NIST10   3 NIST10   3 gf:NIST10   3 NIST10   3 NIST10   3 NIST10   3 NIST10             Mg'
'Mg 1',      2084.53700,    0.000,-11.462, 0.000, 0.000, 0.000, 99.000,'   3 wl:NIST10   3 NIST10   3 gf:NIST10   3 NIST10   3 NIST10   3 NIST10   3 NIST10             Mg'
'Mg 1',      2089.14900,    0.000, -8.055, 0.000, 0.000, 0.000, 99.000,'   3 wl:NIST10   3 NIST10   3 gf:NIST10   3 NIST10   3 NIST10   3 NIST10   3 NIST10             Mg'
'Mg 1',      2089.44400,    0.000, -7.000, 0.000, 0.000, 0.000, 99.000,'   2 wl:GUES   2 GUES   2 gf:GUES   2 GUES   2 GUES   2 GUES   2 GUES             Mg'
'Mg 1',      2154.35300,    0.000, -5.244, 0.000, 0.000, 0.000, 99.000,'   3 wl:NIST10   3 NIST10   3 gf:NIST10   3 NIST10   3 NIST10   3 NIST10   3 NIST10             Mg'
'Mg 1',      2511.59200,    2.709, -3.741, 3.910, 1.510,-5.140, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.62000,    2.709, -3.724, 3.930, 1.480,-5.150, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.63300,    2.709, -6.085, 3.560, 1.470,-5.160, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.64900,    2.709, -3.708, 3.940, 1.460,-5.160, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.66200,    2.709, -6.069, 3.580, 1.440,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.67900,    2.709, -3.691, 3.960, 1.430,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.69300,    2.709, -6.052, 3.600, 1.410,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.71000,    2.709, -3.674, 3.980, 1.400,-5.180, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.72400,    2.709, -6.035, 3.610, 1.390,-5.180, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.74200,    2.709, -3.657, 3.990, 1.370,-5.190, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.75700,    2.709, -6.018, 3.630, 1.360,-5.190, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.77600,    2.709, -3.639, 4.010, 1.340,-5.200, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.79200,    2.709, -6.001, 3.650, 1.330,-5.200, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.81100,    2.709, -3.621, 4.030, 1.310,-5.210, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.82800,    2.709, -5.983, 3.670, 1.300,-5.210, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.84800,    2.709, -3.604, 4.050, 1.280,-5.220, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.86500,    2.709, -5.966, 3.680, 1.270,-5.220, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.88600,    2.709, -3.585, 4.060, 1.250,-5.230, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.90400,    2.709, -5.948, 3.700, 1.240,-5.230, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.92600,    2.709, -3.567, 4.080, 1.220,-5.240, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.94500,    2.709, -5.929, 3.720, 1.210,-5.240, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.96700,    2.709, -3.548, 4.100, 1.190,-5.250, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2511.98700,    2.709, -5.911, 3.740, 1.170,-5.250, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.01100,    2.709, -3.529, 4.120, 1.160,-5.260, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.03100,    2.709, -5.892, 3.760, 1.140,-5.260, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.05600,    2.709, -3.510, 4.140, 1.120,-5.270, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.07800,    2.709, -5.873, 3.780, 1.110,-5.270, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.10400,    2.709, -3.490, 4.160, 1.090,-5.280, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.12600,    2.709, -5.854, 3.800, 1.080,-5.280, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.15300,    2.709, -3.470, 4.180, 1.060,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.17700,    2.709, -5.834, 3.820, 1.040,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.20500,    2.709, -3.450, 4.200, 1.030,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.23000,    2.709, -5.814, 3.840, 1.010,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.26000,    2.709, -3.430, 4.220, 0.990,-5.310, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.28600,    2.709, -5.794, 3.860, 0.970,-5.320, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
