Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'O 1',       2026.43000,   10.989, -3.061, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2026.43000,   10.989, -3.712, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2026.46000,   10.989, -2.797, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2026.46000,   10.989, -3.450, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2026.46000,   10.989, -3.826, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2288.54000,   12.359, -3.275, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2288.54000,   12.359, -4.233, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2288.55000,   12.359, -3.037, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2288.56000,   12.359, -3.709, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2324.73800,    4.190, -7.950, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2417.41300,   10.989, -3.583, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2417.71500,   10.989, -3.708, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2417.74800,   10.989, -3.487, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2417.75700,   10.989, -3.583, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2418.26400,   10.989, -3.486, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2418.29700,   10.989, -3.010, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2432.00000,   10.989, -3.005, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2432.03000,   10.989, -2.783, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2432.04000,   10.989, -3.485, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2433.99000,   10.989, -3.467, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2434.03000,   10.989, -3.344, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2434.31000,   10.989, -2.987, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2434.35000,   10.989, -3.466, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       2434.65000,   10.989, -2.710, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
